 ,0,La Habana,Kingston
Torreon,0.9994425418569254,0.999998097412481,1.0
Cd. Juarez,0.9992161339421614,1.0,1.0
La Paz (BC),0.9991552511415525,1.0,1.0
Tijuana,0.9989554794520548,0.9999961948249619,1.0
Oaxaca,0.9986111111111111,1.0,1.0
Queretaro,0.998453196347032,0.999994292237443,1.0
CDMX,0.998228691019787,0.9999372146118721,1.0
Guadalajara,0.9977245053272451,0.9999866818873668,1.0
Monterrey,0.9967694063926941,0.9999429223744293,1.0
Tegucigalpa,0.9963432267884322,0.9999429223744293,1.0
Merida,0.9960825722983258,0.9999866818873668,1.0
Tuxtla (Gtz),0.9953215372907154,0.999923896499239,1.0
