 ,0,Veracruz,San Pedro Sula,Belmopan
Torreon,0.9994425418569254,1.0,1.0,1.0
Cd. Juarez,0.9992161339421614,1.0,1.0,1.0
La Paz (BC),0.9991552511415525,1.0,1.0,1.0
Tijuana,0.9989554794520548,0.999998097412481,1.0,1.0
Oaxaca,0.9986111111111111,0.9999524353120244,1.0,1.0
Queretaro,0.998453196347032,0.9999904870624049,1.0,1.0
CDMX,0.998228691019787,0.9999505327245053,0.999994292237443,1.0
Guadalajara,0.9977245053272451,0.9999562404870624,1.0,1.0
Monterrey,0.9967694063926941,0.9999353120243532,1.0,1.0
Tegucigalpa,0.9963432267884322,0.999923896499239,1.0,1.0
Merida,0.9960825722983258,0.9999714611872146,1.0,1.0
Tuxtla (Gtz),0.9953215372907154,0.9999048706240488,1.0,1.0
La Habana,0.9948763318112633,0.999923896499239,0.999998097412481,1.0
Kingston,0.9941628614916286,0.9998192541856925,1.0,1.0
San Jose,0.9940867579908675,0.9998420852359209,0.999998097412481,1.0
Cancun,0.9937747336377474,0.9997184170471841,1.0,1.0
